SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
1242	40.802799	111.713997	2919	8590	808	244852	14	2	2	0	5	1	0	1	0	0	1	0	0	0	1	0	0	3	15	9	53068	43290	52424	45813	37928	12329
664	40.792599	111.655998	3010	8389	723	108006	21	2	6	3	12	1	4	2	7	2	2	0	1	2	5	2	1	14	36	23	13404	17842	26051	20344	23778	6587
750	40.854546	111.611664	3355	8698	821	165529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14170	17758	32334	34639	30250	36378
1065	40.809399	111.686996	3845	7266	770	132340	36	4	14	0	10	1	7	6	6	3	2	1	0	2	7	1	3	16	59	28	4188	9244	45930	30223	39076	3679
1670	40.891899	111.848	3549	8736	806	184387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14677	14282	50433	35402	34169	35424
1262	40.788502	111.730003	2183	8741	853	172733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13248	19869	35685	32535	34407	36989
1459	40.83415	111.721478	3867	7819	747	87582	35	4	6	0	12	0	3	2	6	3	2	0	0	1	6	1	0	10	49	22	6758	10009	22493	16823	25684	5815
1390	40.806999	111.730003	2346	8757	822	190770	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	3	0	10433	19098	48787	39256	43650	29546
561	40.773399	111.643997	2691	8582	739	104052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6838	11493	18219	17374	21615	28513
1010	40.838699	111.652069	3045	8849	899	307447	9	3	5	0	5	3	5	0	3	0	4	0	0	0	2	0	0	9	17	13	23322	32563	65993	59042	61550	64977
699	40.779457	111.678472	3071	8527	795	107696	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	2	1	8451	12773	20931	16250	21419	27872
1154	40.84091	111.66438	3431	8494	708	98098	16	5	5	2	8	2	10	2	4	2	2	0	0	1	2	0	0	7	34	20	10081	8291	16777	19371	23053	20525
334	40.606201	111.542999	1650	8530	711	96925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12711	9859	15949	19943	21578	16885
339	40.752499	111.413002	2511	7222	686	61682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2036	3845	17847	12294	15967	9693
291	40.737202	111.289001	1824	8378	712	91357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5128	11069	21632	18740	18220	16568
674	40.805199	111.646004	2758	8791	878	265741	21	4	4	0	4	0	7	3	4	0	3	0	0	0	3	2	0	8	35	12	18871	23694	58875	56368	56455	51478
601	40.794863	111.636652	2390	8506	764	119018	10	0	5	0	3	0	0	1	1	0	3	0	0	0	0	0	0	3	12	8	20883	23487	23388	20487	23854	6919
1546	40.844153	111.739368	2387	8255	750	92661	2	0	3	0	5	1	1	0	0	1	2	0	0	1	0	0	1	5	4	8	7727	13356	23473	20851	21690	5564
982	40.838581	111.650002	3471	8671	871	221562	8	3	6	0	4	2	6	0	3	0	4	0	0	0	3	1	0	10	17	13	9980	16389	63742	39119	47326	45006
1224	40.811901	111.702003	3003	8558	833	295163	64	14	9	2	10	1	4	2	9	4	0	0	0	6	4	0	1	12	83	35	18450	20507	100431	59721	81667	14387
1027	40.820702	111.670998	4001	7809	616	69187	82	22	25	2	39	8	3	6	2	7	5	1	1	10	20	2	5	51	101	88	5000	5615	16269	18358	17853	6092
791	40.823482	111.647603	3334	8303	640	79498	33	1	8	1	13	1	2	4	3	0	2	0	0	1	1	1	2	8	42	23	6502	8624	14785	17682	17990	13915
1450	40.820801	111.733002	2657	8700	701	102744	10	0	2	1	5	0	0	2	3	0	3	0	0	1	0	1	0	5	15	8	12539	13339	19840	18841	18910	19275
1220	40.8265	111.686996	3682	7919	681	83100	111	23	17	9	39	5	12	7	13	8	1	4	1	12	24	3	5	51	155	88	3717	7831	19298	20134	21550	10570
721	40.8074	111.654999	3487	8263	662	68041	71	13	14	0	16	2	7	3	7	4	4	1	0	4	7	0	0	17	93	43	6438	6108	12294	13106	15378	14717
1265	40.813801	111.705002	2881	8635	811	273921	62	14	4	3	9	1	1	3	4	6	0	0	0	6	6	1	0	14	76	30	53234	40915	55556	55209	50236	18771
626	40.764198	111.674004	2676	7601	835	199714	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	25496	16181	32961	45719	41494	37863
783	40.7854	111.684998	3078	8362	708	82951	3	0	1	0	2	0	0	2	1	0	1	0	0	0	0	1	0	2	6	3	6798	8009	15390	12320	19227	21207
408	40.463718	111.794998	2777	8760	854	152994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11279	14202	28965	30298	31447	36803
772	40.811501	111.657997	3444	7739	635	69836	110	16	23	2	23	4	5	9	23	7	4	1	0	5	4	0	1	18	155	64	3497	3779	14703	18007	19865	9985
1442	40.8428	111.708	2743	8689	739	108298	4	1	4	0	4	0	1	4	1	0	1	0	0	0	0	1	0	2	10	9	10081	12238	21542	19599	21604	23234
1313	40.835098	111.690002	3096	7641	621	65340	23	4	19	0	13	1	1	10	6	2	7	0	1	0	1	1	1	12	42	36	10912	9559	14469	11843	15549	3008
1369	40.798401	111.734001	2177	8760	811	144947	2	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	4	1	12117	17581	28194	25710	29997	31348
558	40.7794	111.635002	2144	8782	813	168619	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	2	1	2	17579	25459	21925	21893	33639	48124
477	40.7901	111.551003	2755	8603	827	195304	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	27577	29560	41702	36869	44713	14883
780	40.817101	111.653	3020	8544	736	94911	68	17	4	1	12	4	4	6	43	2	1	0	0	2	4	1	0	12	123	34	12145	8494	18514	17889	18884	18985
535	40.7705	111.625	2396	8722	774	121447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10447	18879	19738	17295	22631	32457
562	40.733398	111.683998	2632	8659	791	110888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9849	11996	24721	20454	19682	24186
993	40.835602	111.653999	2975	7990	734	77488	3	4	5	0	2	3	1	0	0	0	2	0	0	0	0	0	0	5	4	11	10739	8709	16414	15765	19598	6263
458	40.778309	111.539561	2524	8100	750	96651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6651	10004	29514	23467	23208	3807
1055	40.8363	111.658997	2812	8397	794	133477	7	2	3	1	4	2	2	2	1	1	2	0	0	0	2	0	0	6	13	10	11195	12356	42585	25895	34546	6900
916	40.8069	111.676003	3458	7798	717	128368	75	12	4	6	9	1	6	4	10	7	5	1	3	5	11	2	4	31	103	31	4587	12877	43992	24106	39813	2993
809	40.854801	111.617996	3093	8840	848	376101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48077	42023	80432	69345	69785	66439
1618	40.853802	111.794998	2537	8525	810	144770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14328	20832	37736	28230	34912	8732
1203	40.815102	111.695999	3031	8547	744	146679	79	16	14	0	23	1	6	3	20	10	0	0	0	7	9	0	0	17	118	53	21711	14599	27600	30736	40515	11518
410	40.47625	111.783302	2475	8494	806	113161	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	7666	10000	28848	26065	25655	14927
823	40.820202	111.653999	2695	8825	846	281045	47	5	7	1	21	1	4	4	46	1	2	0	0	1	8	1	0	13	102	34	18610	22208	74514	54560	59066	52087
1331	40.821301	111.706001	2867	8497	756	135838	68	9	7	3	15	1	8	4	7	8	2	0	0	10	6	3	1	23	95	34	11586	14079	24548	25805	28823	30997
254	40.726799	111.168999	1958	8265	762	92039	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	5218	10641	18530	19774	17874	20002
1729	40.912102	111.935997	1478	6496	567	30343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3824	4364	7703	6089	6753	1610
390	40.698601	111.532997	1765	8789	793	192755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25301	30335	37636	33074	37521	28888
1332	40.844398	111.682999	3044	8782	829	158821	18	4	6	1	8	2	5	5	3	4	4	0	0	6	1	0	0	13	35	19	15120	15181	34231	28375	33757	32157
978	40.8134	111.675003	3260	7646	636	57063	96	11	20	3	12	4	5	4	22	13	2	1	1	7	17	0	3	34	141	46	4391	3572	11499	10710	15613	11278
980	40.802502	111.685997	2670	8611	825	267022	47	5	20	0	12	1	1	6	11	1	7	0	0	2	8	2	1	21	66	37	39363	26629	71370	53808	57160	18692
1281	40.8628	111.6576883	2626	8287	742	89657	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	3	2	2	4851	8775	17866	17149	19486	21530
1676	40.902401	111.842003	3474	8400	834	191231	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11485	10807	58863	34445	38391	37240
387	40.757999	111.462997	2039	8386	719	78900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7295	6407	17058	17001	16614	14525
1428	40.825001	111.721001	2434	8501	735	121109	20	5	5	0	10	2	9	1	3	1	1	0	1	2	3	1	0	10	34	20	15657	16473	28917	23104	30228	6730
272	40.7258	111.234001	1770	8451	670	104214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4742	13362	24191	22199	20518	19202
813	40.815102	111.657997	2801	8639	707	122408	87	12	9	1	23	3	5	9	26	5	3	2	0	5	6	0	0	17	134	45	8128	6857	23802	33053	31494	19074
1300	40.8391	111.683998	2876	8406	710	95503	29	2	7	0	12	0	2	6	2	1	2	0	0	1	0	2	0	5	40	21	17263	14390	18036	17565	21446	6803
905	40.819801	111.662003	3432	7914	617	66838	90	16	7	1	23	3	5	3	49	7	3	2	0	6	6	0	1	19	156	47	6122	3762	16541	16122	15042	9249
62	40.270046	111.208366	1431	8729	784	151631	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	4	1	9183	16900	23854	32316	33349	36029
1090	40.822701	111.677002	2585	8625	712	108188	62	15	21	4	33	4	10	8	4	9	7	1	1	11	11	1	6	41	94	73	10552	7459	18400	25203	24224	22350
1136	40.824402	111.679001	3433	8088	626	60138	96	19	21	6	32	4	9	6	10	14	4	2	1	15	14	1	7	46	137	78	6196	5142	9924	12343	15476	11057
1000	40.807999	111.681999	2632	8487	734	135532	57	9	11	1	10	2	3	7	7	4	5	0	0	3	12	1	2	25	78	31	14843	17760	32095	28132	33745	8957
457	40.790501	111.521004	1688	8157	707	75552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8013	12092	17916	15338	18556	3637
764	40.810902	111.656998	2358	8707	724	123818	104	13	20	1	23	4	5	7	20	5	4	1	0	5	4	0	0	17	142	57	11998	10502	24093	24526	24731	27968
1309	40.847198	111.677002	2964	8639	786	171196	16	3	2	1	6	2	2	3	6	4	2	0	0	3	3	0	0	10	31	12	13568	13997	41059	30887	38112	33573
